"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Lelisa Desisa","23","M","Ambo","00:04:58","2:10:22","1","1","1",7822,"Lelisa","Desisa"
"Micah Kogo","26","M","Eldoret","00:04:58","2:10:27","2","2","1",7827,"Micah","Kogo"
"Gebregziabher Gebremariam","28","M","Tigray","00:04:58","2:10:28","3","3","2",7828,"Gebregziabher","Gebremariam"
"Jason Hartmann","32","M","Boulder","00:05:02","2:12:12","4","4","1",7932,"Jason","Hartmann"
"Wesley Korir","30","M","Kenya","00:05:03","2:12:30","5","5","2",7950,"Wesley","Korir"
"Markos Geneti","28","M","Addis Ababa","00:05:03","2:12:44","6","6","3",7964,"Markos","Geneti"
"Dickson Chumba","26","M","Nandi","00:05:06","2:14:08","7","7","4",8048,"Dickson","Chumba"
"Jeffrey Hunt","30","M","Randwick","00:05:07","2:14:28","8","8","3",8068,"Jeffrey","Hunt"
"Daniel Tapia","26","M","Castroville","00:05:07","2:14:30","9","9","5",8070,"Daniel","Tapia"
"Craig Leon","28","M","Eugene","00:05:08","2:14:38","10","10","6",8078,"Craig","Leon"
"Robin Watson","29","M","Vancouver","00:05:10","2:15:33","11","11","7",8133,"Robin","Watson"
"Levy Matebo","23","M","Kitale","00:05:10","2:15:42","12","12","2",8142,"Levy","Matebo"
"Tomohiro Tanigawa","24","M","Tokyo","00:05:13","2:16:57","13","13","3",8217,"Tomohiro","Tanigawa"
"Carlos E. Carballo","30","M","Cathedral City","00:05:13","2:17:05","14","14","4",8225,"Carlos E. Carballo",""
"Lee Troop","40","M","Boulder","00:05:15","2:17:52","15","15","1",8272,"Lee","Troop"
"Fernando Cabada","30","M","Boulder","00:05:16","2:18:23","16","16","5",8303,"Fernando","Cabada"
"Joseph J. Gray","29","M","Renton","00:05:17","2:18:45","17","17","8",8325,"Joseph J. Gray",""
"Kevin Pool","30","M","Folsom","00:05:18","2:18:59","18","18","6",8339,"Kevin","Pool"
"Carlos Trujillo","27","M","Middleton","00:05:18","2:19:24","19","19","9",8364,"Carlos","Trujillo"
"Matt Dewald","30","M","Denver","00:05:19","2:19:35","20","20","7",8375,"Matt","Dewald"
"Christopher J. Estwanik","33","M","Pembroke","00:05:20","2:19:55","21","21","8",8395,"Christopher J. Estwanik",""
"Adam Macdowell","34","M","Baton Rouge","00:05:21","2:20:38","22","22","9",8438,"Adam","Macdowell"
"Glenn Randall","26","M","Mesa","00:05:22","2:20:56","23","23","10",8456,"Glenn","Randall"
"Viacheslav V. Shabunin","43","M","Russia","00:05:23","2:21:23","24","24","2",8483,"Viacheslav V. Shabunin",""
"Timothy Ritchie","25","M","Brighton","00:05:23","2:21:31","25","25","11",8491,"Timothy","Ritchie"
"Alex Varner","27","M","San Rafael","00:05:24","2:21:40","26","26","12",8500,"Alex","Varner"
"Deriba Merga","32","M","Addis Ababa","00:05:24","2:21:40","26","26","10",8500,"Deriba","Merga"
"Jeremy Criscione","25","M","Gainesville","00:05:24","2:21:45","28","28","13",8505,"Jeremy","Criscione"
"Ulrich Steidl","41","M","Seattle","00:05:25","2:22:05","29","29","3",8525,"Ulrich","Steidl"
"Scott A. Mindel","26","M","Ballston Lake","00:05:25","2:22:25","30","30","14",8545,"Scott A. Mindel",""
"Tracy C. Lokken","47","M","Marquette","00:05:25","2:22:27","31","31","1",8547,"Tracy C. Lokken",""
"Robert Gomez","29","M","Saco","00:05:26","2:22:53","32","32","15",8573,"Robert","Gomez"
"Shimpei Yoshimi","21","M","Gumma","00:05:27","2:23:00","33","33","4",8580,"Shimpei","Yoshimi"
"Jason Ryf","42","M","Oshkosh","00:05:27","2:23:06","34","34","4",8586,"Jason","Ryf"
"Matt Hensley","25","M","Port St. Lucie","00:05:28","2:23:21","35","35","16",8601,"Matt","Hensley"
"Malcolm Campbell","42","M","Marietta","00:05:28","2:23:37","36","36","5",8617,"Malcolm","Campbell"
"Jesus Campos","28","M","Fresno Ca","00:05:29","2:24:05","37","37","17",8645,"Jesus","Campos"
"Odilon Cuahutle Rosas","42","M","Tlaxcala","00:05:29","2:24:09","38","38","6",8649,"Odilon Cuahutle Rosas",""
"Michael T. Cassidy","27","M","New York","00:05:30","2:24:23","39","39","18",8663,"Michael T. Cassidy",""
"Greg Reindl","28","M","Denver","00:05:31","2:24:53","40","40","19",8693,"Greg","Reindl"
"Said Boudalia","44","M","Vas (belluno)","00:05:31","2:25:02","41","41","7",8702,"Said","Boudalia"
"Mike Andersen","26","M","Walled Lake","00:05:32","2:25:12","42","42","20",8712,"Mike","Andersen"
"Ryan McCalmon","37","M","Cape Elizabeth","00:05:32","2:25:13","43","43","1",8713,"Ryan","McCalmon"
"Ian Nurse","35","M","Boston","00:05:33","2:25:35","44","44","2",8735,"Ian","Nurse"
"Josh Ordway","32","M","Franklin","00:05:33","2:25:43","45","45","11",8743,"Josh","Ordway"
"Brandon Newbould","31","M","Nottingham","00:05:33","2:25:45","46","46","12",8745,"Brandon","Newbould"
